,Maximum savings ($/kWh),Nearest Community with Lower Price Power,Distance to Community
Adak,0,,
Afognak,0,,
Akhiok,0,,
Akiachak,0.08,Kwethluk,7.034560206
Akiak,0.11,Kwethluk,10.17257113
Akutan,0,,
Alakanuk,0.0885,Nunam Iqua,12.92255493
Alatna,0,,
Aleknagik,-0.004,,
Aleneva,0,,
Allakaket,0.0013,Alatna,1.675515272
Ambler,-0.0606,,
Anaktuvuk Pass,0,,
Andreafsky,0,,
Angoon,-0.0576,,
Aniak,0.1435,Lower Kalskag,27.12832023
Anton Larsen Bay,0,,
Anvik,0.0472,Holy Cross,34.09932795
Arctic Village,0,,
Atka,0,,
Atmautluak,0.2793,Kwethluk,28.47663242
Atqasuk,0,,
Ayakulik,0,,
Barrow,0,,
Beaver,0,,
Bethel,0.0758,Kwethluk,11.30511159
Bettles,0,,
Brevig Mission,-0.0654,,
Buckland,0,,
Central,-0.081,,
Chalkyitsik,0,,
Chefornak,0.4747,Kipnuk,17.45914873
Chena Hot Springs,0,,
Chenega,0,,
Chevak,-0.0474,,
Chicken,0,,
Chignik,-0.201,,
Chignik Lagoon,0.201,Chignik,5.346288903
Chignik Lake,0.311,Chignik,14.11465524
Chiniak,0.002,Kodiak,13.77024443
Chisana,0,,
Chistochina,0.489,Gakona,27.38268721
Chitina,0.51,Kenny Lake,21.97572757
Chuathbaluk,0.042,Aniak,10.0526215
Circle,0.081,Central,27.82184219
Circle Hot Springs,0,,
Clark's Point,0,,
Clear,0,,
Coffman Cove,0,,
Cold Bay,0.4129,King Cove,18.7022044
Coldfoot,0,,
Copper Center,0,,
Copperville,0,,
Cordova,0,,
Council,0,,
Covenant Life,-0.0048,,
Craig,0,,
Crooked Creek,0,,
Deering,0,,
Delta Junction,0,,
Deltana,0,,
Dillingham,0.004,Aleknagik,17.57120425
Diomede,-0.0895,,
Dot Lake,0.1045,Tanacross,29.61266066
Dot Lake Village,0.1045,Tanacross,28.7893251
Douglas,0,,
Eagle,0,,
Eagle Village,0,,
Edna Bay,0,,
Eek,0.1044,Quinhagak,32.38163633
Egegik,0,,
Ekuk,0,,
Ekwok,0.2071,Koliganek,26.87520397
Elfin Cove,0,,
Elim,-0.0021,,
Emmonak,0.0384,Nunam Iqua,19.83301363
Evansville,0,,
Excursion Inlet,0,,
Eyak,0,,
False Pass,0,,
Ferry,0,,
Fishhook,0,,
Fort Glenn,0,,
Fort Yukon,0,,
Gakona,0,,
Galena,0.0727,Nulato,34.0911066
Gambell,0,,
Georgetown,0,,
Glennallen,0,,
Golovin,0.0021,Elim,23.40073015
Goodnews Bay,0,,
Grayling,-0.0166,,
Gulkana,0,,
Gustavus,-0.2691,,
Haines,0.0048,Covenant Life,21.89315289
Hamilton,0,,
Healy Lake,0,,
Hobart Bay,0,,
Hollis,0,,
Holy Cross,-0.0472,,
Homer,0,,
Hoonah,0.2691,Gustavus,23.53725467
Hooper Bay,0.0474,Chevak,16.81925583
Hughes,0,,
Huslia,0,,
Hydaburg,0,,
Hyder,0,,
Iditarod,0,,
Igiugig,0,,
Iliamna,0,,
Ivanof Bay,0,,
Juneau,0,,
Kachemak,0,,
Kaguyak,0,,
Kake,0,,
Kaktovik,0,,
Kaltag,-0.0216,,
Kanatak,0,,
Karluk,0.276,Larsen Bay,16.99871303
Kasaan,0.1497,Ketchikan,31.28571806
Kasigluk,0,,
Kenny Lake,0,,
Ketchikan,0.02,Metlakatla,16.19338218
Kiana,0.0268,Selawik,27.88597137
King Cove,-0.4129,,
King Island,0,,
King Salmon,0,,
Kipnuk,-0.1847,,
Kivalina,0,,
Klawock,0,,
Klukwan,0.4224,Covenant Life,3.335367538
Kobuk,0.0606,Ambler,29.10420034
Kodiak,-0.002,,
Kodiak Station,0.002,Kodiak,5.808370943
Kokhanok,0.3047,Iliamna,22.42647923
Koliganek,-0.1547,,
Kongiganak,0.04,Kwigillingok,10.95938296
Kotlik,0,,
Kotzebue,0,,
Koyuk,0,,
Koyukuk,0.3527,Nulato,16.42117296
Kupreanof,0,,
Kwethluk,-0.0598,,
Kwigillingok,0.1847,Kipnuk,30.77277345
Larsen Bay,-0.189,,
Levelock,0.1144,King Salmon,29.72475977
Lime Village,0,,
Litnik,0,,
Loring,0,,
Lowell Point,0,,
Lower Kalskag,0.014,Tuluksak,34.72181668
Lutak,0,,
Manley Hot Springs,0,,
Manokotak,0.11,Aleknagik,25.57673299
Marshall,0.0061,Pilot Station,26.48811628
Mary's Igloo,0,,
McCarthy,0,,
McGrath,-0.2937,,
Medfra,0,,
Mekoryuk,0.0027,Tununak,34.7763009
Mendeltna,0,,
Mentasta Lake,0.1935,Tanacross,33.81477555
Mertarvik,0,,
Metlakatla,-0.02,,
Meyers Chuck,0,,
Minto,0.6054,Rampart,33.9562806
Mosquito Lake,0,,
Mountain Point,0,,
Mountain Village,0.0173,Pilot Station,29.11194249
Mud Bay,0,,
Nabesna,0,,
Nagamut,0,,
Naknek,0,,
Nanwalek,0,,
Napaimute,0,,
Napakiak,0.32,Kwethluk,19.82216036
Napaskiak,0.18,Kwethluk,13.1288253
Naukati Bay,0,,
Nelchina,0,,
Nelson Lagoon,0,,
New Allakaket,0,,
New Stuyahok,0.1547,Koliganek,19.1017253
Newhalen,0,,
Newtok,0.251,Nightmute,31.93213565
Nightmute,0,,
Nikolaevsk,0,,
Nikolai,0,,
Nikolski,0,,
Noatak,0,,
Nome,0,,
Nondalton,0,,
Noorvik,0.028,Selawik,32.29344468
Northway,0.1897,Tetlin,21.93512164
Northway Junction,0.1945,Tetlin,24.1756375
Northway Village,0.1897,Tetlin,20.78612312
Nuiqsut,0,,
Nulato,0.0216,Kaltag,32.74212869
Nunam Iqua,-0.0384,,
Nunapitchuk,0.0598,Kwethluk,34.84264039
Nunivak Island,0,,
Old Harbor,0.189,Larsen Bay,34.12026742
Ophir,0,,
Oscarville,0.0758,Kwethluk,12.90641325
Ouzinkie,0.2298,Kodiak,9.734149572
Paimiut,0,,
Pauloff Harbor,0,,
Paxson,0,,
Pedro Bay,0.3147,Iliamna,27.80344257
Pelican,-0.0709,,
Perryville,0.09,Chignik Lake,27.8166211
Petersburg,0,,
Pile Bay,0,,
Pilot Point,0,,
Pilot Station,-0.0034,,
Pitkas Point,0.0034,Pilot Station,14.42200072
Platinum,0,,
Point Baker,0,,
Point Hope,0,,
Point Lay,0,,
Point Possession,0,,
Poorman,0,,
Port Alexander,0,,
Port Alsworth,0.0924,Nondalton,24.14673865
Port Clarence,0,,
Port Graham,0,,
Port Heiden,0,,
Port Lions,0.002,Kodiak,18.68619225
Port Moller,0,,
Port Protection,0,,
Port William,0,,
Portage Creek,0,,
Quinhagak,-0.1044,,
Rampart,-0.6054,,
Red Devil,0,,
Ruby,0,,
Russian Mission,0.0131,Marshall,25.72430032
Saint George,0,,
Saint Mary's,0.0034,Pilot Station,12.34260181
Saint Michael,-1E-04,,
Saint Paul,0,,
Salamatof,0,,
Sanak,0,,
Sand Point,0,,
Savoonga,0,,
Saxman,0,,
Scammon Bay,0.1135,Chevak,21.43447176
Selawik,-0.0268,,
Shageluk,0.0582,Holy Cross,32.27747872
Shakan Bay,0,,
Shaktoolik,0,,
Shishmaref,0,,
Shungnak,0.0606,Ambler,23.82008736
Shuyak Island,0,,
Silver Springs,0,,
Sitka,0,,
Skagway,0.0048,Covenant Life,24.45134051
Slana,-1E-04,,
Sleetmute,0,,
Solomon,0,,
South Naknek,0,,
Squaw Harbor,0,,
Stebbins,1.00E-04,Saint Michael,8.224810811
Steele Creek,0,,
Stevens Village,0,,
Stony River,0,,
Takotna,0.2937,McGrath,14.82381212
Tanacross,0,,
Tanana,0,,
Tatitlek,0.685,Valdez,21.37250345
Tazlina,0,,
Telida,0,,
Teller,0.0654,Brevig Mission,5.942684957
Tenakee Springs,0.0576,Angoon,30.65267495
Tetlin,0,,
Thorne Bay,0,,
Togiak,-0.3814,,
Tok,0,,
Toksook Bay,0,,
Tolsona,0,,
Tonsina,0,,
Tuluksak,0.08,Kwethluk,25.50326459
Tuntutuliak,0.0224,Eek,23.95264987
Tununak,0,,
Twin Hills,0.3814,Togiak,3.602457126
Uganik,0,,
Ugashik,0,,
Umiat,0,,
Unalakleet,0,,
Unalaska,0,,
Unga,0,,
Upper Kalskag,0,,
Uyak,0,,
Venetie,0,,
Wainwright,0,,
Wales,0.0895,Diomede,26.81412465
Ward Cove,0,,
Whale Pass,0,,
White Mountain,0.0221,Elim,34.23722743
Whitestone,0,,
Whitestone Logging Camp,0,,
Wiseman,0,,
Womens Bay,0.002,Kodiak,9.468519888
Wrangell,0.008,Petersburg,32.13282165
Yakutat,0,,
